start_id,success,objective,impact_t1,min_1_15,max_1_15,B11,B22,B33
100,True,4.445989641369832e-05,-2.9007883007144206e+19,-3.522081335158004e+19,6.194407416283412e+18,0.19854866253181958,1.3724606266423152e-20,2.4853338555684184e-20
39,True,4.445989643007642e-05,-2.461362371682807e+17,-2.9885399449207994e+17,5.256045240720668e+16,0.19855145702444177,-8.914530538187858e-20,2.9290373313011103e-18
105,True,4.4459896483418386e-05,5.888037336192641e+17,-1.2573436444470136e+17,7.149145712934156e+17,0.19855309410239577,2.1229055543453624e-18,-1.2244182523612346e-18
29,True,4.4459896651849383e-05,3.373292044508043e+17,-7.203391903152583e+16,4.095791275071792e+17,0.1985579754436685,-1.1562691318151308e-18,-2.137203642646875e-18
61,True,4.4459896919153425e-05,2.698656258268901e+17,-5.762764948692681e+16,3.276658999906398e+17,0.19855443309088272,1.0545190238517421e-17,-2.6714838373887217e-18
21,True,4.445989730539494e-05,1.4711197838760362e+17,-3.141462611271621e+16,1.786204890201954e+17,0.19854687702245763,-1.2967149367832983e-17,-4.900641026524752e-18
24,True,4.4459897392799416e-05,1.1262280923136083e+18,-2.40497347118103e+17,1.3674439410747615e+18,0.19854575359716783,-1.7677420593117572e-18,-6.401395918047241e-19
98,True,4.458387717928232e-05,-30.984234326259614,-35.76864610113775,7.062475983069535,-3.228929330791991e-19,0.39414757232967645,0.02314834597609805
31,True,4.458387719335162e-05,-154.03077750563136,-193.23828503749735,31.698184982406307,-5.877254901996438e-20,0.34450684785161123,0.0043209796708091885
84,True,4.4583877200572234e-05,29.12811360805487,-6.477775792649796,41.160691533098955,2.080234326544469e-17,0.1794231024846743,0.013187979722579925
13,True,4.458387720432929e-05,-28.122943481287226,-32.106464162312214,6.553472742372788,9.672301426953941e-19,0.38710094086145874,0.024863322628471157
45,True,4.458387721459806e-05,-50.80227615683867,-61.13142080879078,11.022134241191617,1.8318548629967893e-18,0.392423307828449,0.01446681788090542
