ydgdp,cs_index_ret,cs_index_vol,savgnatshock,savgpolshock,savgrevshock,savgtershock,countrycode,timecode
2.840841,-.5575064,-.2870855,.1029336,0,0,0,2,118
3.01266,-.6316491,-.2186542,.1029336,0,0,0,2,119
3.478017,-.0674867,-.654653,.1029336,0,0,0,2,120
4.05427,.0117406,-.9078175,0,0,0,0,2,121
4.515257,-.0066832,-.4514884,0,0,0,0,2,122
4.133642,-.1863237,-.4886222,0,0,0,0,2,123
3.601857,-.0173401,-.5452147,0,0,0,0,2,124
2.948723,-.5203395,-.1420001,0,0,0,0,2,125
1.995034,-.5641109,-.4645161,0,0,0,0,2,126
1.497315,-.5212107,-.375019,0,0,0,0,2,127
.8537677,-.9179755,-.0865716,0,0,0,0,2,128
.4544044,-.4585178,-.2854861,0,0,0,0,2,129
1.042583,-.2628162,-.4667627,0,0,0,0,2,130
1.391724,-.3078376,-.4670742,0,0,0,0,2,131
1.67952,-.380762,-.2186209,0,0,0,0,2,132
1.668431,-.3382601,-.2348826,0,0,0,0,2,133
1.203248,-.5294128,-.2036885,0,0,0,0,2,134
.9115005,-.06631,-.1598165,.0101362,0,0,0,2,135
.8622249,.5845736,-.5955231,.0101362,0,0,0,2,136
1.125589,.8091372,-.6226354,.0101362,0,0,0,2,137
1.442427,1.332838,-.4602644,.0101362,0,0,0,2,138
2.005942,1.089355,-.5609387,0,0,0,0,2,139
2.556597,.9461516,-.6562901,0,0,0,0,2,140
2.404611,.9820578,-.7740261,0,0,0,0,2,141
2.607632,.8049529,-.7872376,0,0,0,0,2,142
2.267955,1.079925,-.6033795,0,0,0,0,2,143
2.372353,1.28365,-.5888128,0,0,0,0,2,144
3.101296,.9581384,-.6164135,0,0,0,0,2,145
3.022818,1.025972,-.7635098,0,0,0,0,2,146
3.42907,.4153543,-.5558733,0,0,0,0,2,147
3.604027,.3221509,-.5275221,0,0,0,0,2,148
3.564258,.628661,-.6130456,0,0,0,0,2,149
4.069927,.5282568,-.4322697,0,0,0,0,2,150
3.91363,.892453,-.819952,0,0,0,0,2,151
3.638918,.4738143,-.5039765,0,0,0,0,2,152
3.489941,-.0902016,-.3586103,.0204511,0,0,0,2,153
2.979268,-.8764197,-.3302881,.0204511,0,0,0,2,154
2.767823,-1.039065,-.3225523,.0204511,0,0,0,2,155
1.426009,-1.781147,.0860021,.0204511,0,0,0,2,156
-.9255434,-3.274108,1.350903,0,0,0,0,2,157
-3.15781,-2.947728,1.668852,0,0,0,0,2,158
-4.509161,-2.317929,1.984178,0,0,0,0,2,159
-3.896819,-.5213628,1.81266,0,0,0,0,2,160
-2.384937,.960297,.895414,0,0,0,0,2,161
-.1952554,1.221679,.3646582,0,0,0,0,2,162
1.274129,.3491311,.1545534,0,0,0,0,2,163
1.753725,-.1107167,-.111929,0,0,0,0,2,164
2.9516,.508603,-.0182774,0,0,0,0,2,165
3.376966,.4935722,.12123,0,0,0,0,2,166
3.302994,.5881866,-.195781,0,0,0,0,2,167
2.794941,-.5645013,.1360964,0,0,0,0,2,168
2.032842,-1.141103,.1950858,0,0,0,0,2,169
.961654,-.8990756,.2927151,0,0,0,0,2,170
.5752798,-1.055945,.4959113,0,0,0,0,2,171
.8667043,-.0241514,.6460669,0,0,0,0,2,172
.1654619,.4145719,.3417272,0,0,0,0,2,173
.2341756,.0372839,.1642042,0,0,0,0,2,174
.1947187,.1678718,.1512464,0,0,0,0,2,175
.0071738,.2314479,-.3230938,0,0,0,0,2,176
.5593581,.0054581,-.3478246,0,0,0,0,2,177
.7833448,.0896257,-.1824785,0,0,0,0,2,178
.8677514,.3568579,-.4921077,0,0,0,0,2,179
.9195116,-.1644002,-.5475598,0,0,0,0,2,180
.7619473,-.394022,-.4608244,0,0,0,0,2,181
.8322683,.1100995,-.3326896,0,0,0,0,2,182
.9574847,-.0277095,-.134222,0,0,0,0,2,183
1.067566,.0229999,.0824917,0,0,0,0,2,184
1.297388,.4100246,.0927116,0,0,0,0,2,185
1.324307,-.2945336,-.013097,0,0,0,0,2,186
1.328488,-.3765235,-.1564277,0,0,0,0,2,187
1.402349,.1406132,-.3512531,0,0,0,0,2,188
1.634136,.1924433,-.6096519,0,0,0,0,2,189
2.006889,.6166404,-1.011415,0,0,0,0,2,190
2.51111,1.02474,-1.248178,0,0,0,0,2,191
2.97647,.8323122,-1.404382,0,0,0,0,2,192
1.583431,1.000396,-2.06898,0,0,0,0,3,69
